VERSION 1
FORMAT x y z
POINTS 150
DATA ascii
4.02898682798663 88.73466113795168 91.2432186591652
20.411005055533447 97.72976288685311 41.99336791166307
12.179935297426969 86.29280131512769 44.36153085687698
97.22542613639388 1.6336417762076283 87.86717755774671
78.01175415758931 19.191910698931558 89.99671724762347
7.601450055623305 96.72032429156103 89.41168014464888
52.81224835283048 39.249153516775294 96.16182724287799
86.66784389211334 89.96332405584468 95.23037826824948
82.10738306871389 95.86666127822971 96.93555141745112
74.60669209639299 43.69799656026216 2.9465388784304714
62.85479057357105 36.17816492569823 64.98182783585274
38.316723799512594 22.435745015814966 44.87506600289745
56.83859432381656 67.61494469214493 80.41292793020457
49.604057110965904 53.08646780170654 20.503701635451822
7.620896913340058 39.064372293783364 66.86063596499471
22.805866426942767 98.74227406800028 29.73375035666316
76.85710515533593 84.89434978426515 73.01989476495638
59.039679392113506 98.60026270846349 43.82107573216728
77.25534293949602 59.24048892495553 66.44975374079827
79.03954741144346 26.620923676003972 46.985458733494525
96.28655193455236 51.61660934950025 97.3520805563135
79.95468368605401 7.041868170806376 0.45376298082933086
16.953849328969937 21.239090316019325 15.37719187965707
24.583346686717423 41.41138089651392 25.901866536418115
1.0176368865596142 52.81667394371085 12.738468542490677
43.190473697700504 73.91444905771424 20.56452577615454
89.09247548904078 56.121477592989 93.37389351932235
45.8956281049767 5.356123181630479 51.41527831663417
25.087518063977022 75.76084799405444 15.411956321364972
19.176986995893962 72.28996072003918 64.62493676770146
42.46327153444726 17.282817384695726 21.056816065365325
88.80632508896477 66.11089454593278 3.5238465533899643
52.16560855283839 36.8931466778771 85.9834527046128
4.118478190750253 68.63039404296265 26.866295222998502
81.99951918546466 19.030426460156246 34.66445807277213
53.078517329358874 66.90383256802124 4.109461592085961
21.683107967685487 81.50028906533421 83.55496399855703
10.543685805595493 68.75311961342668 85.27495227664328
49.35904969839506 73.17186633156295 63.08512506606602
61.74584398754598 90.77521733487289 9.903720849499253
93.26169719220464 98.78649558060567 78.24206914558663
93.47404288722058 96.66617896023732 10.66229731057975
83.74734151352975 90.01752302662186 80.22903062046761
83.10273682106106 13.646523854397596 64.29356227762429
84.55014987461892 97.21479947209113 63.457543619030766
27.089538613324184 23.039834784582247 36.52454442434253
46.58525571394478 8.973316038610623 17.743258754920888
23.208498219923513 72.90255148079495 53.748336465730596
12.008695901792333 33.11298493704804 64.2138058871308
58.49751583332612 11.749051705981229 69.47309845562326
7.61111266701866 47.396822883073284 26.26182462858777
61.21307461988249 16.86692077467796 73.41667881793774
16.990838890811943 57.937186865993716 15.269289829426192
64.85509618243049 49.000819587066424 49.680730116396255
65.5054471455343 26.9018553450733 65.95477807766409
0.8470942442510232 48.200821203742706 68.91607681970859
40.979481360341666 3.709675361159015 9.20079172524616
29.767715989446575 21.718675270600574 22.465622272991347
